transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
17333,4,44604,51,44604.jpg,0,282.4,-1.0,7,0,0,Amrabat,13.0,False,57,422,False,Nordin,0,100,0,0,494.3,0,5,113.9,65,0,16321,a,0.0,0,0,50,2.2,4,3,0.1,0.0,0,,74,0,0,1,0,0,0,263,3,0.6,368.0,18,100,2091,Amrabat,0
7164,0,28160,0,28160.jpg,0,0.0,0.0,4,0,0,Suárez,0.0,False,57,423,False,Mario,0,0,0,0,0.0,0,0,0.0,0,0,337,u,0.0,0,0,45,0.0,0,0,0.1,0.0,0,Moved to Valencia in season-long loan deal,69,0,0,0,0,0,0,0,3,0.0,0.0,18,0,0,Suárez,0
4695,2,173514,9,173514.jpg,0,146.2,-1.0,10,1,0,Success,4.9,False,57,424,False,Isaac,0,100,-3,0,96.7,3,0,46.8,28,0,2391,a,0.0,0,0,57,1.5,1,1,0.0,0.0,0,,0,0,0,0,0,0,0,87,3,-0.8,225.0,18,100,519,Success,0
814246,7,41725,52,41725.jpg,0,617.4,-0.8,9,10,0,Deeney,19.7,False,57,425,False,Troy,0,100,-4,0,555.9,4,18,206.8,130,0,813559,a,0.0,1,0,66,3.5,6,4,4.8,0.0,0,,629,0,2,1,0,0,0,441,4,0.3,900.0,18,75,2944,Deeney,0
337689,1,58498,29,58498.jpg,0,93.6,0.0,24,1,0,Ighalo,5.7,False,57,426,False,Odion,0,0,-7,0,173.8,7,2,70.0,39,0,94311,u,0.0,0,0,68,2.2,2,1,2.4,0.0,0,Joined Chinese club Changchun Yatai on 31/1,709,0,0,0,0,0,0,84,4,0.0,440.0,18,0,1291,Ighalo,0
819,0,179620,0,179620.jpg,0,0.0,0.0,,0,0,Oularé,0.0,False,57,427,False,Mamadou Obbi,0,0,0,0,0.0,0,0,0.0,0,0,515,u,0.0,0,0,45,0.0,0,0,0.0,0.0,0,Loaned to Willem II until end of season,0,0,0,0,0,0,0,0,4,0.0,0.0,18,0,0,Oularé,0
18512,0,133801,1,133801.jpg,0,1.0,0.0,19,0,0,Sinclair,1.3,False,57,428,False,Jerome,0,0,-2,0,14.3,2,0,3.5,6,0,7400,u,0.0,0,0,48,1.2,0,0,0.2,0.0,0,Joined Birmingham on loan from 31/1 until the end of the season,0,0,0,0,0,0,0,11,4,0.0,22.0,18,0,116,Sinclair,0
37890,0,12086,0,12086.jpg,0,0.0,0.0,13,0,0,Myhill,0.0,False,35,429,False,Boaz,0,100,-4,0,0.0,4,0,0.0,0,0,3559,a,0.0,0,0,41,0.0,0,0,0.4,0.0,0,,218,0,0,0,0,0,0,0,1,0.0,0.0,19,100,0,Myhill,0
517913,2,9089,51,9089.jpg,115,767.0,0.0,1,0,0,Foster,24.0,False,35,430,False,Ben,0,,2,0,20.3,-2,4,79.5,113,0,674681,a,0.0,0,0,47,3.0,6,0,12.6,0.0,0,,129,0,2,1,0,0,0,629,1,2.5,5.0,19,,3420,Foster,0
392466,8,37642,39,37642.jpg,0,626.6,0.0,6,2,0,Evans,18.0,False,35,431,False,Jonny,0,100,-1,0,117.5,1,7,100.6,79,0,258822,a,0.0,0,0,44,2.5,4,1,4.1,0.0,0,,343,0,1,8,0,0,0,478,2,1.5,259.0,19,100,2637,Evans,0
